 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1  -1  -4 1 1 1
      2   2  -1  -4 1 1 1
      3   3  -1  -4 1 1 1
      4   4  -1  -4 1 1 1
      5   5  -1  -4 1 1 1
      6   6  -1  -4 1 1 1
      7   7  -1  -4 1 1 1
      8   8  -1  -4 1 1 1
      9   9  -1  -4 1 1 1
     10  10  -1  -4 1 1 1
     11  11  -1  -4 1 1 1
     12  12  -1  -4 1 1 1
     13  13  -1  -4 1 1 1
     14  14  -1  -4 1 1 1
     15  15  -1  -4 1 1 1
     16  16  -1  -4 1 1 1
     17  17  -1  -4 1 1 1
     18  18  -1  -4 1 1 1
     19  19  -1  -4 1 1 1
     20  20  -1  -4 1 1 1
     21  21  -1  -4 1 1 1
     22  22  -1  -4 1 1 1
     23  23  -1  -4 1 1 1
     24  24  -1  -4 1 1 1
     25  25  -1  -4 1 1 1
     26   1   0  -4 1 1 1
     27   2   0  -4 1 1 1
     28   3   0  -4 1 1 1
     29   4   0  -4 1 1 1
     30   5   0  -4 1 1 1
     31   6   0  -4 1 1 1
     32   7   0  -4 1 1 1
     33   8   0  -4 1 1 1
     34   9   0  -4 1 1 1
     35  10   0  -4 1 1 1
     36  11   0  -4 1 1 1
     37  12   0  -4 1 1 1
     38  13   0  -4 1 1 1
     39  14   0  -4 1 1 1
     40  15   0  -4 1 1 1
     41  16   0  -4 1 1 1
     42  17   0  -4 1 1 1
     43  18   0  -4 1 1 1
     44  19   0  -4 1 1 1
     45  20   0  -4 1 1 1
     46  21   0  -4 1 1 1
     47  22   0  -4 1 1 1
     48  23   0  -4 1 1 1
     49  24   0  -4 1 1 1
     50  25   0  -4 1 1 1
     51   1   1  -4 1 1 1
     52   2   1  -4 1 1 1
     53   3   1  -4 1 1 1
     54   4   1  -4 1 1 1
     55   5   1  -4 1 1 1
     56   6   1  -4 1 1 1
     57   7   1  -4 1 1 1
     58   8   1  -4 1 1 1
     59   9   1  -4 1 1 1
     60  10   1  -4 1 1 1
     61  11   1  -4 1 1 1
     62  12   1  -4 1 1 1
     63  13   1  -4 1 1 1
     64  14   1  -4 1 1 1
     65  15   1  -4 1 1 1
     66  16   1  -4 1 1 1
     67  17   1  -4 1 1 1
     68  18   1  -4 1 1 1
     69  19   1  -4 1 1 1
     70  20   1  -4 1 1 1
     71  21   1  -4 1 1 1
     72  22   1  -4 1 1 1
